Continent,Region/Plate,Archaeological Grouping,Country,State (or the like),Group Serial,Source General,Source Common Name,Obsidian Age,Secondary Age,Ages Average,Formation Type,Boundary Activity,Boundary Type,Crust Type,Normative Occurrence,Latitude,Longitude,Loc. Notes,Conservative Grouping,Hypothetical Grouping,Tool Quality,Type,Geology,Ethnominerology,Other Names,Bibliographies,,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Ethiopia,G-ETH004,Ado Da'Ure,Ado Da'Ure,,,,,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,,,,,Main Ethiopia RIft,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Afar,G-ETH005,Afar,Afar,,,,,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,12.42,41.068,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Khalidi, Lamya, Clive Oppenheimer, Bernard Gratuze, Sophie Boucetta, Ali Sanabani, and Ahmed Al-Mosabi. 2010. Obsidian Sources in Highland Yemen and their Relevance to Archaeological Research in the Red Sea Region. Journal of Archaeological Science 37:2332-2345. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Ethiopia,G-ETH006,Alcoma,Alcoma,,,,,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,,,,,Main Ethiopia RIft,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Oromia,G-ETH007,Aluto,Aluto,,2.6-0,1.3,Stratovolcano,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,7.768,38.758,,,Main Ethiopia RIft,,Obsidian,,,"""Literature suggests alternate names for this source include Alutu, Mount Alutu, Alutu Caldera (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Shackley, Steven M., and Yonatan Sahle. 2017. Geochemical Characterization of Four Quaternary Obsidian Sources and Provenance of Obsidian Artifacts from the Middle Stone Age Site of Gademotta, Main Ethiopian RIft. Geoarchaeology: An International Journal 32:302-310. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791. ; Global Volcanism Program, 2013. 2013. Volcanoes of the World v. 4.6.2, http://dx.doi.org/10.5479/si.GVP.VOTW4-2013, Smithsonian Institution, Washington DC. ; Woldegabriel, Giday, James L. Aronson, and Robert C. Walter. 1990. Geology, Geochronology, and RIft Basin Development in the Central Sector of the Main Ethiopia Rift. Geology Society of America Bulletin 102:439-458.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Ethiopia,G-ETH008,Asbole,Asbole,,,,,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,,,,,Main Ethiopia RIft,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Oromia,G-ETH009,Assebot,Assebot,23-5.3,3,,Pyroclastic Stratovolcano,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,9.266,40.5,,,Main Ethiopia RIft,,Obsidian,"""Assebot is part of the 'Mio-Pliocene volcanics that are aligned along the southern margin of the Afar Rift' (Negash and Shackley 2008).""",,"""Literature suggests alternate names for this source include Assabot and Asebot (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Negash, Agazi, and M. S. Shackley. 2006. Geochemical Provenance of Obsidian Artefacts from the MSA Site in Porc Epic, Ethiopia. Archaeometry 48(1):1-12. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791. ; Global Volcanism Program, 2013. 2013. Volcanoes of the World v. 4.6.2, http://dx.doi.org/10.5479/si.GVP.VOTW4-2013, Smithsonian Institution, Washington DC. ; Woldegabriel, Giday, James L. Aronson, and Robert C. Walter. 1990. Geology, Geochronology, and RIft Basin Development in the Central Sector of the Main Ethiopia Rift. Geology Society of America Bulletin 102:439-458.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Ethiopia,G-ETH010,Axum,Axum A and D,,,,,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,,,,,Main Ethiopia RIft,,Obsidian,,,"""Literature suggests alternate names for this source include Askum and AxuM (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Afar,G-ETH012,Ayelu,Ayelu,2.6-0,2.6-0,1.3,Stratovolcano,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,10.082,40.701,,,Main Ethiopia RIft,,Obsidian,"""Ayelu is a large stratovolcano belonging to the Wonji Group of the Quaternary Axial silicic volcanics of the Ethiopian Rift (Negash and Shackley 2006).""",,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Negash, Agazi, and M. S. Shackley. 2006. Geochemical Provenance of Obsidian Artefacts from the MSA Site in Porc Epic, Ethiopia. Archaeometry 48(1):1-12. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791. ; Global Volcanism Program, 2013. 2013. Volcanoes of the World v. 4.6.2, http://dx.doi.org/10.5479/si.GVP.VOTW4-2013, Smithsonian Institution, Washington DC. ; Woldegabriel, Giday, James L. Aronson, and Robert C. Walter. 1990. Geology, Geochronology, and RIft Basin Development in the Central Sector of the Main Ethiopia Rift. Geology Society of America Bulletin 102:439-458.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Oromia,G-ETH013,Baltchit,Baltchit,4.37-0.07,,,Volcanic Field,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,8.647,39.162,,,Main Ethiopia RIft,,Obsidian,"""Balchit obsidian comes from Pliocene silicic activity in the Addis Ababa region of Ethiopia. Glass is grey and contains phenocrysts primarily of feldspar. Nodules can be 2-3m thick (Negash et al. 2006).""",,"""Literature suggests an alternate name for this source is Group 1g (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Negash, Agazi, Steven M. Shackley, and Mulugeta Alene. 2006. Source Provenance of Obsidian Artifacts from the Early Stone Age (ESA) Site of Melka Konture, Ethiopia. Journal of Archaeological Science 33:1647-1650. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791. ; Global Volcanism Program, 2013. 2013. Volcanoes of the World v. 4.6.2, http://dx.doi.org/10.5479/si.GVP.VOTW4-2013, Smithsonian Institution, Washington DC. ; Woldegabriel, Giday, James L. Aronson, and Robert C. Walter. 1990. Geology, Geochronology, and RIft Basin Development in the Central Sector of the Main Ethiopia Rift. Geology Society of America Bulletin 102:439-458.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Ethiopia,G-ETH014,Bede Gebabe,Bede Gebabe,,,,,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,,,,,Main Ethiopia RIft,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791.""",,,,,,,,,,,,,,,,,,,
