Continent,Region/Plate,Archaeological Grouping,Country,State (or the like),Group Serial,Source General,Source Common Name,Obsidian Age,Secondary Age,Ages Average,Formation Type,Boundary Activity,Boundary Type,Crust Type,Normative Occurrence,Latitude,Longitude,Loc. Notes,Conservative Grouping,Hypothetical Grouping,Tool Quality,Type,Geology,Ethnominerology,Other Names,Bibliographies,,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Nigde,G-TKY003,Bozköy,Bozköy,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,38.252,34.511,,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Göllü Dagi-Bozköy (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Hancock, R. G. V., and Tristian Carter. 2010. How Reliable are our Published Archaeometric Analysis, Effects of Analytical Techniques Through Time on the Elemental Analysis of Obsidians. Journal of Archaeological Science 37:243-250. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Turkey,G-TKY005,Digor,Digor,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,,,,Aragats,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Kars Digor (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Turkey,G-TKY006,Erzinkan,Erzinkan,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,38.254,34.487,,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Erzincan (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Gartuze, B. 1999. Obsidian Characterisation by Laser Abalation ICP-MS and its Applications to Prehistroic Trade in the Mediterranean and the Near East: Sources and Distribution of Obsidian within Aegean and Anatolia. Journal of Archaeological Science 26:891-881. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Turkey,G-TKY007,Erzurum,Erzurum,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,40,42.174,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Chataigner, C., M. Isikli, B. Gratuze, and V. Çil. 2013. Obsidian Sources in the Regions of Erzurum and Kars (North-East Turkey): New Data. Archaeometry 56(3):351-374. ; Gartuze, B. 1999. Obsidian Characterisation by Laser Abalation ICP-MS and its Applications to Prehistroic Trade in the Mediterranean and the Near East: Sources and Distribution of Obsidian within Aegean and Anatolia. Journal of Archaeological Science 26:891-881. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Turkey,G-TKY008,Galata X,Galata X,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Nigde,G-TKY009,Göllüdag,Göllüdag 1 2 3 4a 4b 5 6 7 East and Group General,,0.9-0.86,0.88,Lava Dome,Active,Convergent,Continental,Active Continental Margin,38.2688,34.532,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Gartuze, B. 1999. Obsidian Characterisation by Laser Abalation ICP-MS and its Applications to Prehistroic Trade in the Mediterranean and the Near East: Sources and Distribution of Obsidian within Aegean and Anatolia. Journal of Archaeological Science 26:891-881. ; Binder, Didier, Bernard Gratuze, Damase Mouralis, and Nur Balkan-Atli. 2011. New Investigations of the Göllüdag Obsidian Lava Flows System: A Multi-Disciplinary Approach. Journal of Archaeological Science 38:3174-3184. ; Topra, Vedat, and M. C. Göncüoglu. 1993. Tectonic Control of the Development of the Neogene-Quaternary Central Anatolian Volcanic Province, Turkey. Geological Journal 28:357-369. Carter, Tristian, and M. S. Shackley. 2007. Sourcing Obsidian from Neolithic Çatalhöyük (Turkey) Using Energy Dispersive X-Ray Fluorescence. Archaeometry 49(3):437-454. ; Hancock, R. G. V., and Tristian Carter. 2010. How Reliable are our Published Archaeometric Analysis, Effects of Analytical Techniques Through Time on the Elemental Analysis of Obsidians. Journal of Archaeological Science 37:243-250. ; Le Bourdonnec, F.-X., S. Delerue, S. Dubernet, Ph. Moretto, Th. Calligro, J.-C. Dran, and G. Poupeau. 2005. PIXE Characterization of Western Mediterranean and Anatolian Obsidians and Neolithic Provenance Studies. Nuclear Instruments and Methods in Physics Research B 240:595-599. ; Oddone, M., Z. Yegingil, G. Bigazzi, T. Ercan, and M. Özdogan. 1997. Chemical Characterizations of Anatolian Obsidians by Instrumental and Epithermal Neutron Activation Analysis. Journal of Radioanalytical and Nuclear Chemistry 221(1-2):27-38.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Nevsehir,G-TKY012,Hotamis Dag,Hotamis Dag Groups General,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,38.537,34.626,,,,,Obsidian,"""There are five subsources in the Hotamis Dag group: Acigöl (wall of the maar), Acigöl-Bogazköy (the wall of the caldera), Acigöl-Güney Dagi, Acigöl-Kocadag, and Acigöl-Taskesiktepe (Oddone et al. 1997).""",,"""Literature suggests an alternate name for this source includes Acigöl (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Gartuze, B. 1999. Obsidian Characterisation by Laser Abalation ICP-MS and its Applications to Prehistroic Trade in the Mediterranean and the Near East: Sources and Distribution of Obsidian within Aegean and Anatolia. Journal of Archaeological Science 26:891-881. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Kars,G-TKY015,Kars Akababa Dag,Kars Akababa Dag,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,40.48,43.0997,,Aragats,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Kars (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Oddone, M., Z. Yegingil, G. Bigazzi, T. Ercan, and M. Özdogan. 1997. Chemical Characterizations of Anatolian Obsidians by Instrumental and Epithermal Neutron Activation Analysis. Journal of Radioanalytical and Nuclear Chemistry 221(1-2):27-38. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Turkey,G-TKY016,Kars Arpacay,Kars Arpacay A and B,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Turkey,G-TKY018,Kayirilli,Kayirilli,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Nigde,G-TKY019,Kömürcü,Kömürcü N SW and Group General,,0.9-0.86,0.88,Lava Dome,Active,Convergent,Continental,Active Continental Margin,38.283,34.57,,,,,Obsidian,,,"""Literature suggests alternate names for this source include Kömürcü and Göllü Dagi-Kömürcü (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Hancock, R. G. V., and Tristian Carter. 2010. How Reliable are our Published Archaeometric Analysis, Effects of Analytical Techniques Through Time on the Elemental Analysis of Obsidians. Journal of Archaeological Science 37:243-250. ; Topra, Vedat, and M. C. Göncüoglu. 1993. Tectonic Control of the Development of the Neogene-Quaternary Central Anatolian Volcanic Province, Turkey. Geological Journal 28:357-369. ; Oddone, M., Z. Yegingil, G. Bigazzi, T. Ercan, and M. Özdogan. 1997. Chemical Characterizations of Anatolian Obsidians by Instrumental and Epithermal Neutron Activation Analysis. Journal of Radioanalytical and Nuclear Chemistry 221(1-2):27-38.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Nevsehir,G-TKY021,Korü dağ,Korü dağ,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,38.537,34.626,,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes West Acigo (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Gartuze, B. 1999. Obsidian Characterisation by Laser Abalation ICP-MS and its Applications to Prehistroic Trade in the Mediterranean and the Near East: Sources and Distribution of Obsidian within Aegean and Anatolia. Journal of Archaeological Science 26:891-881. ; Gartuze, B. 1999. Obsidian Characterisation by Laser Abalation ICP-MS and its Applications to Prehistroic Trade in the Mediterranean and the Near East: Sources and Distribution of Obsidian within Aegean and Anatolia. Journal of Archaeological Science 26:891-881. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Turkey,G-TKY022,Kulakikepez,Kulakikepez,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,,,,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Kulak Kepez (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Bitlis,G-TKY023,Nemrut Dag,Nemrut Dag I II III IV V VI and Group General,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,38.61,42.248,,,,,Obsidian,,,"""Literature suggests alternate names for this source include Lake Van, Nenezi Dag,  and Nemrut Mountain (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Carter, Tristian, and M. S. Shackley. 2007. Sourcing Obsidian from Neolithic Çatalhöyük (Turkey) Using Energy Dispersive X-Ray Fluorescence. Archaeometry 49(3):437-454. ; Oddone, M., Z. Yegingil, G. Bigazzi, T. Ercan, and M. Özdogan. 1997. Chemical Characterizations of Anatolian Obsidians by Instrumental and Epithermal Neutron Activation Analysis. Journal of Radioanalytical and Nuclear Chemistry 221(1-2):27-38. ; Gartuze, B. 1999. Obsidian Characterisation by Laser Abalation ICP-MS and its Applications to Prehistroic Trade in the Mediterranean and the Near East: Sources and Distribution of Obsidian within Aegean and Anatolia. Journal of Archaeological Science 26:891-881. ; Le Bourdonnec, F.-X., S. Delerue, S. Dubernet, Ph. Moretto, Th. Calligro, J.-C. Dran, and G. Poupeau. 2005. PIXE Characterization of Western Mediterranean and Anatolian Obsidians and Neolithic Provenance Studies. Nuclear Instruments and Methods in Physics Research B 240:595-599. ; Khazaee, M., M. D. Glascock, P. Masjedi, F. Khadmi Nadoshan, R. Soleimani Farsani, M. Delfan, A. Mansori, B. Sodaie, and A. Dolatyari. 2014. Sourcing the Obsidian of Prehistoric Tools Found in Western Iran to Southeast Turkey: A Case Study for the Sites Eastern Chai Sabz and Chogha Ahovan. Anatolian Studies 64:23-31. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578. ; Innocenti, F., R. Mazzuoli, G. Pasquare, F. Radicati Di Brozolo, and L. Villari. 1976. Evolution of the Volcanism in the Area of Interaction Between the Arabian, Anatolian, and Iranian Plates (Lake Van, Eastern Turkey). Journal of Volcanology and Geothermal Research 1:103-112.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Mus,G-TKY024,Muşe Konuk Bekler,Muşe Konuk Bekler,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,38.93,41.493,,,,,Obsidian,,,"""Literature suggests alternate names for this source include Muş and Mercimekkale (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Chataigner, C., M. Isikli, B. Gratuze, and V. Çil. 2013. Obsidian Sources in the Regions of Erzurum and Kars (North-East Turkey): New Data. Archaeometry 56(3):351-374. ; Carter, Tristian, Sarah Grant, Metin Kartal, Aytaç Coskun, and Vecihi Özkaya. 2013. Networks and Neolithisation: Sourcing from Kortik Tepe (SE Anatolia). Journal of Archaeological Science 40:556-569. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Erzurum,G-TKY029,Pasinler,Pasinler,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,40.026,41.597,,,Eastern Pontides Belt,,Obsidian,,,"""Literature suggests an alternate name for this source includes Tizigi (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Bressy, C., G. Poupeau, and K. A. Yener. 2005. Cultural Interactions During the Ubaid and Halaf Periods: Tell Kurdu (Amuq Valley, Turkey) Obsidian Sourcing. Journal of Archaeological Science 32:1560-1565. ; Chataigner, C., M. Isikli, B. Gratuze, and V. Çil. 2013. Obsidian Sources in the Regions of Erzurum and Kars (North-East Turkey): New Data. Archaeometry 56(3):351-374. ; Gartuze, B. 1999. Obsidian Characterisation by Laser Abalation ICP-MS and its Applications to Prehistroic Trade in the Mediterranean and the Near East: Sources and Distribution of Obsidian within Aegean and Anatolia. Journal of Archaeological Science 26:891-881. ; Oddone, M., Z. Yegingil, G. Bigazzi, T. Ercan, and M. Özdogan. 1997. Chemical Characterizations of Anatolian Obsidians by Instrumental and Epithermal Neutron Activation Analysis. Journal of Radioanalytical and Nuclear Chemistry 221(1-2):27-38. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578. ; Eyuboglu, Yener, Sun-Lin Chung, M. Santosh, Francis O. Dudas, and Enver Akaryali. 2011. Transition from Shoshonitic to Adakitic Magmatism in the Eastern Pontides, NE Turkey: Implications for Slab Window Melting. Gondwana Research 19:413-429.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Turkey,G-TKY030,Rize,Rize,,,,,Active,Convergent,Continental,Active Continental Margin,,,,,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Cankiri,G-TKY031,Sakaeli-Orta,Sakaeli-Orta,,23-2.6,12.8,,Active,Transform,Continental,Active Continental Margin,40.683,33.196,,,Eastern Pontides Belt,,Obsidian,,,"""Literature suggests an alternate name for this source includes Orta-Sakaeli (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Gartuze, B. 1999. Obsidian Characterisation by Laser Abalation ICP-MS and its Applications to Prehistroic Trade in the Mediterranean and the Near East: Sources and Distribution of Obsidian within Aegean and Anatolia. Journal of Archaeological Science 26:891-881. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578. ; Eyuboglu, Yener, Sun-Lin Chung, M. Santosh, Francis O. Dudas, and Enver Akaryali. 2011. Transition from Shoshonitic to Adakitic Magmatism in the Eastern Pontides, NE Turkey: Implications for Slab Window Melting. Gondwana Research 19:413-429.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Kars,G-TKY032,Sarikamis,Sarikamis I II North and Group General,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,40.177,42.792,,Aragats,,,Obsidian,,,"""Literature suggests Sarikamis I and II may be called Sarikamis South I and II, and Sarikamis North may also be called Kizil Kilisa (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Chataigner, C., and B. Gratuze. 2014. New Data on the Exploitation of Obsidian in the Southern Caucasus (Armenia, Georgia) and Eastern Turkey, Part 2: Obsidian Procurement from the Upper Paleolithic to the Broze Age. Archaeometry 56(1):48-69. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Bitlis,G-TKY034,Süphaun Dag,Süphaun Dag I II and Group General,,23-0,11.5,,Active,Convergent,Continental,Active Continental Margin,38.931,42.829,,Lake Van Volcanic Area,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Mount Süphan (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Boulanger, Matthew T., Richard S. Davis, and Michael D. Glascock. 2012. Preliminary Characterisation and Regional Comparison of the Dash-i-Nawur Obsidian Source Near Ghazni, Afghanistan. Journal of Archaeological Science 39:2320-2328. ; Oddone, M., Z. Yegingil, G. Bigazzi, T. Ercan, and M. Özdogan. 1997. Chemical Characterizations of Anatolian Obsidians by Instrumental and Epithermal Neutron Activation Analysis. Journal of Radioanalytical and Nuclear Chemistry 221(1-2):27-38. ; Innocenti, F., R. Mazzuoli, G. Pasquare, F. Radicati Di Brozolo, and L. Villari. 1976. Evolution of the Volcanism in the Area of Interaction Between the Arabian, Anatolian, and Iranian Plates (Lake Van, Eastern Turkey). Journal of Volcanology and Geothermal Research 1:103-112. ; Carter, Tristian, Sarah Grant, Metin Kartal, Aytaç Coskun, and Vecihi Özkaya. 2013. Networks and Neolithisation: Sourcing from Kortik Tepe (SE Anatolia). Journal of Archaeological Science 40:556-569.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Agri,G-TKY036,Tendürek,Tendürek,,6-0,3,Shield,Active,Convergent,Continental,Active Continental Margin,39.369,43.892,,Lake Van Volcanic Area,,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Chataigner, C., and B. Gratuze. 2014. New Data on the Exploitation of Obsidian in the Southern Caucasus (Armenia, Georgia) and Eastern Turkey, Part 1: Source Characterization. Archaeometry 56(1):48-69. ; Innocenti, F., R. Mazzuoli, G. Pasquare, F. Radicati Di Brozolo, and L. Villari. 1976. Evolution of the Volcanism in the Area of Interaction Between the Arabian, Anatolian, and Iranian Plates (Lake Van, Eastern Turkey). Journal of Volcanology and Geothermal Research 1:103-112. ; Global Volcanism Program, 2013. 2013. Volcanoes of the World v. 4.6.2, http://dx.doi.org/10.5479/si.GVP.VOTW4-2013, Smithsonian Institution, Washington DC.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Eskisehir,G-TKY037,Yaglar Group,Yaglar Group,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,39.634,31.554,LOCATION ONLY,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Kars Yaglar (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Kars,G-TKY038,Yaglica Dag,Yaglica Dag,,23-2.6,12.8,,Active,Convergent,Continental,Active Continental Margin,40.292,43.322,,Aragats,,,Obsidian,"""There are two subsources, one at the summit and one to the southern base (Chataigner et al. 2013, Chataigner and Gratuze 2014).""",,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Dilek, Yildirium, Nazimlmamcerdiyev, and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578. ; Carter, Tristian, Sarah Grant, Metin Kartal, Aytaç Coskun, and Vecihi Özkaya. 2013. Networks and Neolithisation: Sourcing from Kortik Tepe (SE Anatolia). Journal of Archaeological Science 40:556-569. ; Chataigner, C., and B. Gratuze. 2014. New Data on the Exploitation of Obsidian in the Southern Caucasus (Armenia, Georgia) and Eastern Turkey, Part 2: Obsidian Procurement from the Upper Paleolithic to the Broze Age. Archaeometry 56(1):48-69.""",,,,,,,,,,,,,,,,,,,
Eurasia,Persian Belt,Persian Belt,Turkey,Aksaray,G-TKY039,Hasandagi,Hasandagi,,0.58-0.08,0.33,Composite Cone,Active,Convergent,Continental,Active Continental Margin,38.13,34.169,,,,,Obsidian,,,"""Literature suggests an alternate name for this source includes Hasan Dag (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Gartuze, B. 1999. Obsidian Characterisation by Laser Abalation ICP-MS and its Applications to Prehistroic Trade in the Mediterranean and the Near East: Sources and Distribution of Obsidian within Aegean and Anatolia. Journal of Archaeological Science 26:891-881. ; Topra, Vedat, and M. C. Göncüoglu. 1993. Tectonic Control of the Development of the Neogene-Quaternary Central Anatolian Volcanic Province, Turkey. Geological Journal 28:357-369.""",,,,,,,,,,,,,,,,,,,
