,,,,,,,,,,,
,Serial Base,name,DMS Lat,DMS Long,Deg Lat,Deg Long,notes,,,,
,UCA,Warners Boyd Creek,41.4257,-120.1536,41.7158333333,-120.26,,,,,
,UCA,Warners Buck Mountain,41.45,-120.1825,41.75,-120.30694444,Updated Original,,,,
,UCA,Warners Sugar Hill,41.4811,-120.1970,41.8030555,-120.318611,Updated Original,,,,
,UCO,Beaver Creek,37.3446,-106.3961,37.57944444,-106.651694444,Updated Original,,,,
,UCO,Nathrop,38.4703,-106.172,38.784166666,-106.0186666,Updated Original,,,,
,UID,American Falls,42.4662,-112.5241,42.76838888,-112.8780555,Updated Original,,,,
,UID,Ammon Quad.,43.2351,-111.5148,43.3975,-111.8633333333,,,,,
,UID,Big Southern Butte,43.2311,-113.056,43.38638888,-113.01555555,Updated Original,,,,
,UID,Blackfoot VF China Hat,42.4892,-111.3631,42.802555555,-111.60861,,,,,
,UID,Blackfoot VF Middle Cone,42.4932,-111.3604,42.825555555,-111.601111,,,,,
,UID,Blackfoot VF North Cone,42.5,-111.3494,42.8333,-111.5692777,,,,,
,UNM,Big Lue Mountains,33.811,-109.177,33.13638888,-109.0188,,,,,
,UNV,Clayton Ridge,37.39,-117.33,37.65,-117.55,,,,,
,UNV,Cow Creek,40.3568,-118.4643,40.5852222,-118.77861111,Lovelock source* NOT TUSCAN,,,,
,UNV,Gilbert District,38.1378,-117.3651,38.2188333,-117.4475,Monte Cristo Range* 2nd dep of Crow Springs?,,,,
,UNV,McGee Mountain,41.5432,-118.5883,41.90888888,-118.968972,,,,,
,UNV,Rocky Canyon,40.3824,-118.3982,40.64,-118.652277777777,AKA Rabbit Hole* NOT ROCK CANYON,,,,
,UNV,Shoshone Mountain,37.108,-116.1814,37.1688888888,-116.30388888,,,,,
,UNV,Trinity Range,40.173,-118.3353,40.284166666,-118.564722,,,,,
,UOR,Beatys Butte,42.24,-119.2213,42.4,-119.370277777,Updated Original,,,,
,UOR,Cougar Mountain,43.2446,-120.5333,43.4127777,-120.8925,Updated original,,,,
,UOR,Crater Lake Cleetwood,42.5876,-122.439,42.9687777,-122.719166,2nd Dep from Sycan?,,,,
,UOR,Crater Lake Cloudcap,42.56.01,122.2.47,42.933611,-122.046388,,,,,
,UOR,Crater Lake Grouse HIll,42.5946,-121.4533,42.996111111,-121.2591666,2nd Dep from Sycan?,,,,
,UOR,Crater Lake Llao Rock,45.5878,-122.732,42.9686111,-122.1255555,2nd Dep from Sycan?* In lake,,,,
,UOR,Crater Lake Redcloud Cliff,42.5676,-122.274,42.9354444,-122.451111,2nd Dep from Sycan?,,,,
,UOR,Crater Lake The Watchman,42.5662,-122.1061,42.9350555,-122.16836111,2nd Dep from Sycan?,,,,
,UOR,Drewes Ranch,42.1662,-120.4229,42.26838888,-120.708055,,,,,
,UOR,East Butte,43.4012,-120.583,43.6699999,-120.9675,,,,,
,UOR,Glass Buttes,43.3338,-120.185,43.56055,-120.019027,GROUP GENERAL,,,,
,UOR,Horse Mountain,43.824,-120.1037,43.14,-120.1769444,Updated original,,,,
,UOR,McComb Butte,42.3514,-120.3713,42.587222,-120.620277,,,,,
,UOR,Newberry Lake East Lake,43.4284,-121.1381,43.70233,-121.218916,,,,,
,UOR,Newberry Lake Lost Lake,43.423,-121.1456,43.700833333,-121.248888,,,,,
,UOR,Orijana Canyon,42.4851,-119.2963,42.81416666,-119.4850833,,,,,
,UOR,Quartz Mountain,43.3811,-120.587,43.63638888,-120.96861111,,,,,
,UOR,Riley,43.2905,-119.3222,43.484722222,-119.539444,Updated original,,,,
,UOR,South Sister,44.203,-121.4533,44.334166666,-121.759166,,,,,
,UOR,Tucker Hill,42.3514,-120.3713,42.590833,-120.424166,,,,,
,UUT,Min Mnts Baily Ridge,38.2905,-112.4974,38.484722222,-112.8187222,AKA Shoo Mine?,,,,
,UUT,Min Mnts North Dome,38.3108,-112.4793,38.518888888,-112.7859166,,,,,
,UUT,Mineral Mnts Little Bearskin Mountain,x,x,x,x,,,,,
,UUT,Twin Peaks VF Rhy of Cudahy Mine,38.4486,-112.4448,38.7357222222,-112.734666,,,,,
,UUT,White Mountain,38.5486,-112.2983,38.9023888,-112.48563888888,,,,,
,UUT,Wildcat hills,41.4946,-113.181,41.8294444,-113.01891666,,,,,
,UWY,Crystal Spring Flow,44.5074,-110.4253,44.835388,-110.714722,Updated Original,,,,
,UWY,Elephant Back,44.3473,-110.2449,44.56869444,-110.413611,2nd dep = fishing bridge?,,,,
,UWY,Gibbon River,44.4277,-110.4215,44.702138,-110.70416666,Updated Original,,,,
,UWY,Mount Everts,44.575,-110.3936,44.951388888888,-110.66,AKA Huckleberry Ridge Tuff* Updated original,,,,
,UWY,Obsidian Cliff,44.2824,-110.4244,44.473333,-110.712222222,2nd dep?,,,,
,UWY,Summit Lake,44.2757,-110.5203,44.465833,-110.8674999,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
