,tky002,,Bingöl Dag,,,,,,,
,UID052,x,Blackfoot Volcanic Field,Blackfoot Volcanic Field North Cone,,,,,,
,UID053,,Blackfoot Volcanic Field,Blackfoot Volcanic Field Middle Cone,,,,,,
,UID054,,Blackfoot Volcanic Field,China Hat,,,,,,
,ken002,x,Bogoria South,,,,,,,
,ken003,,Bogoria South,,,,,,,
,KEN066,x,Broad Acres,Broad Acres 1,,,,,,
,KEN067,,Broad Acres,Broad Acres 2,,,,,,
,ARG003,x,Caldera Vilama,Caldera Vilama-1,,,,,,
,ARG004,,Caldera Vilama,Caldera Vilama-2,,,,,,
,ECU003,x,Callejones,Callejones-1,,,,,,
,ECU004,,Callejones,Callejones-2,,,,,,
,ECU021,,Callejones,Callejones Group General,,,,,,
,UID007,x,Cannonball Mountain,Cannonball Mountain Group General,,,,,,
,UID047,,Cannonball Mountain,Cannonball Mountain 1,,,,,,
,UID048,,Cannonball Mountain,Cannonball Mountain 2,,,,,,
,HUN001,x,Carpathian,Caparthian 1,,,,,,
,HUN002,,Carpathian,Caparthian 2 Group General,,,,,,
,HUN011,,Carpathian,Caparthian 2A,,,,,,
,HUN012,,Carpathian,Caparthian 2B,,,,,,
,UCA011,x,Casa Diablo,Casa Diablo Lookout Mountain subsource,,,,,,
,UCA012,,Casa Diablo,Casa Diablo Prospect Ridge subsource,,,,,,
,UCA013,,Casa Diablo,Casa Diablo Sawmill Ridge subsource,,,,,,
,UCA070,,Casa Diablo,Casa Diablo Group General,,,,,,
,ARG005,x,Cerro Bayo,Cerro Bayo 1,,,,,,
,ARG006,,Cerro Bayo,Cerro Bayo 2,,,,,,
,MEX063,x,Cerro Varal,Cerro Varal-1,,,,,,
,MEX064,,Cerro Varal,Cerro Varal-2,,,,,,
,MEX099,,Cerro Varal,Cerro Varal Group General,,,,,,
,GEO001,x,Chikiana,Chikiana Group General,,,,,,
,GEO002,,Chikiana,Chikiana 1a,,,,,,
,GEO003,,Chikiana,Chikiana 1b,,,,,,
,GEO004,,Chikiana,Chikiana 2,,,,,,
,GEO005,,Chikiana,Chikiana 3a,,,,,,
,GEO006,,Chikiana,Chikiana 3b,,,,,,
,UNV013,x,Cloverdale Canyon,Cloverdale Canyon A,,,,,,
,UNV014,,Cloverdale Canyon,Cloverdale Canyon B,,,,,,
,ECU006,x,Consanga,Cosanga-A,,,,,,
,ECU007,,Consanga,Cosanga-B,,,,,,
,ECU022,,Consanga,Cosanga Group General,,,,,,
,UWA006,x,Copper Mountain,Copper Ridge A,,,,,,
,UWA007,,Copper Mountain,Copper Ridge B,,,,,,
,UWA008,,Copper Mountain,Copper Ridge C,,,,,,
,UWA009,,Copper Mountain,Copper Ridge D,,,,,,
,UCA016,x,Coso,Coso: Joshua Ridge,,,,,,
,UCA017,,Coso,Coso: Sugarloaf Mountain Group General,,,,,,
,UCA018,,Coso,Coso: West Cactus Peak,,,,,,
,UCA019,,Coso,Coso: West Sugarloaf,,,,,,
,UCA071,,Coso,Coso Group General,,,,,,
,UNV021,x,Devil Peak,Devil Peak East,,,,,,
,UNV022,,Devil Peak,Devil Peak West,,,,,,
,UNV071,x,Double H,Double H Subsource 1,,,,,,
,UNV072,,Double H,Double H Subsource 2,,,,,,
,UNV073,,Double H,Double H Subsource 3,,,,,,
,UNV074,,Double H,Double H Subsource 4,,,,,,
,UNV075,,Double H,Double H Subsource 5,,,,,,
,ARG012,x,El Peceño,El Peceño-1,,,,,,
,ARG013,,El Peceño,El Peceño-2,,,,,,
,PNG010,x,Garala,Garala Group,,,,,,
,PNG051,,Garala,Garala B,,,,,,
,PNG052,,Garala,Garala C,,,,,,
,ARM010,x,Gegham,Gegham-Alaphars,,,,,,
,ARM011,,Gegham,Gegham-Gyumush,,,,,,
,ARM012,,Gegham,Gegham-Nurnus,,,,,,
,ARM028,,Gegham,Gegham Group General,,,,,,
,ken009,x,Gicheru,,,,,,,
,ken010,,Gicheru,,,,,,,
,RUS007,x,Gladkaya River,Gladkaya River Group General,,,,,,
,RUS031,,Gladkaya River,Gladkaya River 1,,,,,,
,RUS032,,Gladkaya River,Gladkaya River 2,,,,,,
,RUS033,,Gladkaya River,Gladkaya River 3,,,,,,
,UOR051,x,Glass Buttes,Glass Buttes 1,,,,,,
,UOR052,,Glass Buttes,Glass Buttes 2,,,,,,
,UOR053,,Glass Buttes,Glass Buttes 3,,,,,,
,UOR054,,Glass Buttes,Glass Buttes 4,,,,,,
,UOR055,,Glass Buttes,Glass Buttes 5,,,,,,
,UOR056,,Glass Buttes,Glass Buttes 6,,,,,,
,UOR057,,Glass Buttes,Glass Buttes 7,,,,,,
,UOR058,,Glass Buttes,Glass Buttes 8,,,,,,
,UOR059,,Glass Buttes,Glass Buttes 9,,,,,,
,UOR150,,Glass Buttes,Glass Buttes Group General,,,,,,
,TKY009,x,Göllüdağ,Göllüdağ 1,,,,,,
,TKY010,,Göllüdağ,Göllüdağ 2,,,,,,
,TKY011,,Göllüdağ,Göllüdağ 7,,,,,,
,TKY041,,Göllüdağ,Göllüdağ 4a,,,,,,
,TKY042,,Göllüdağ,Göllüdağ 4b,,,,,,
,TKY043,,Göllüdağ,Göllüdağ 5,,,,,,
,TKY044,,Göllüdağ,Göllüdağ 6,,,,,,
,TKY054,,Göllüdağ,East Göllüdağ,,,,,,
,TKY055,,Göllüdağ,Göllüdağ Group General,,,,,,
,TKY062,,Göllüdağ,Göllüdağ 3,,,,,,
,CAN035,x,Graham Island,Graham Island 1,,,,,,
,CAN036,,Graham Island,Graham Island 2,,,,,,
,JPN009,x,Hakone,Hakone Group General,,,,,,
,JPN085,,Hakone,Hakone I,,,,,,
,JPN086,,Hakone,Hakone II,,,,,,
,ARM016,x,Hatis,Hatis Group General,,,,,,
,ARM029,,Hatis,Hatis 1,,,,,,
,ARM030,,Hatis,Hatis 2,,,,,,
,YEM002,x,Hayd al Halal,Hayd al Halal 1,,,,,,
,YEM003,,Hayd al Halal,Hayd al Halal 2,,,,,,
,JPN012,x,Himeshima,Himeshima Group General,,,,,,
,JPN087,,Himeshima,Himeshima I,,,,,,
,JPN088,,Himeshima,Himeshima II,,,,,,
